title,arxiv,date,category,harness_design,harness_change,rl_algorithm,training_target,model,model_scale,training_method,benchmark,environment,reward,harness_in_rollout,internalization_evidence,component_retirement,code,priority,notes
"Training with Harnesses: On-Policy Harness Self-Distillation for Complex Reasoning","2605.08741","2026-05-09","Internalization; Self-Distillation","Deterministic stateful LLM program; draft-verify and plan-solve style harnesses","Fixed structure; behavior changes with current model","None","Base model","TBD","TBD","On-policy harness self-distillation / reverse-KL distillation","HMMT25; text classification; mathematical reasoning","Reasoning","Distillation objective","Yes, teacher harness generates training supervision","Strong: standalone model improves; reattaching harness gives little/no benefit","No explicit component lifecycle","https://github.com/zzy1127/OPHSD-On-Policy-Harness-Self-Distillation","Must read","Key evidence that external harness capability can be internalized into model weights."
"Co-Harness: Co-Evolving Harnesses and Model Weights for LLM Agents","2607.22688","2026-07-17","Harness Optimization; Co-Evolution; Internalization","Prompts, tools, skills, middleware, memory; runtime research-agent harness","Yes: LLM HarnessCritic proposes and validates local harness updates","None reported as core model-update method","Base model + harness","TBD","TBD","Alternating harness optimization and model fine-tuning on improved trajectories","Automated AI research case study; paper-specific evaluations TBD","Research agent","Trajectory quality / validation signals","Yes","Moderate: effective scaffolding is distilled into model parameters via fine-tuning","No explicit measured retirement rule","No official repo confirmed yet","Must read","Closest direct prior on harness-model alternating co-evolution."
"Agent Lightning v1.0: Towards Harnessed Agentic RL","2608.17528","2026-08-18","Harnessed Agentic RL; RL Infrastructure","Arbitrary deploy-time harness owns tools, context, control flow and environment loop","Usually fixed by user/deployment; framework trains policy under the real harness","veRL-compatible harnessed agentic RL; exact optimizer/config tracked per experiment","Base model policy","Qwen3.5-9B (coding experiment)","9B","RL with proxy-captured LLM request/response trajectories","SWE-bench Verified; instruction-following; search; coding","Coding; search; general agents","Task reward / experiment-specific","Yes, by definition","Not a main focus","No","https://github.com/microsoft/agent-lightning","Must read / code base","Core infrastructure baseline for training with a real deploy-time harness."
"OpenForgeRL: Train Harness-native Agents in Any Environment","2607.21557","2026-07-23","Harnessed Agentic RL; RL Infrastructure","Arbitrary stateful/multi-process harness; OpenAI-compatible proxy records model calls","Harness generally fixed during policy training","Standard RL backend such as veRL","Base model policy","Varies","TBD","Proxy-recorded harness-native RL + Kubernetes rollout orchestration","Diverse tool and GUI environments","Coding; GUI; tool use","Environment/task reward","Yes","Not a main focus","No","Official open-source repo link to pin","High / infrastructure","Alternative infrastructure baseline to Agent Lightning; does not optimize harness."
"Harness-RL: Black-Box Reinforcement Learning with Action-Args Decoupling for Central-Agent Multi-Agent Harnesses","2608.29641","2026-08-30","Harnessed Agentic RL; Multi-Agent RL; RL Algorithm","Central agent coordinates sub-agents/tools; Interface Call Records + prefix trees represent branching/parallel sessions","Harness structure given; policy trained inside it","CAPO (Conflict-Aware Policy Optimization)","Central-only or joint multi-agent policy","Qwen2.5-1.5B; Qwen2.5-3B","1.5B; 3B","Structured black-box trajectories + action/args gradient decoupling","Seven multi-hop QA and agentic retrieval benchmarks","Multi-agent retrieval / QA","Outcome + process rewards","Yes","Not studied","No","https://github.com/jiangxinke/Harness-RL","High","Important RL baseline for complex/non-flat harness trajectories; no harness evolution."
"EvoHarness-RL: Learning Self-Evolving Runtime Harness for Long-Horizon LLM Agents","2608.05446","2026-08-05","Harness Policy Learning; Harnessed Agentic RL; Harness Evolution","BPE external state: Belief, Progress, Experience; policy-facing actions to read/write harness state","Experience/progress state evolves; action set and core BPE interface fixed","Cost-aware GRPO","Base model policy / harness-use policy","Qwen3-8B","8B","Harness SFT + cost-aware GRPO","ALFWorld","Long-horizon embodied/text environment","Task success + efficiency/cost-aware terms + auxiliary shaping","Yes","Weak/indirect: harness usage anneals during RL; no harness-free causal removal test reported","No structural component retirement; usage can fall toward zero","No official repo confirmed as of 2026-09-04","Must read","Most direct collision with RL + harness annealing; reported compute: 8 H200, 150 epochs, 128 trajectories/step."
"CHILL-Harness: Counterfactual Harness Learning for Efficient Reasoning in Long-Horizon Agents","2607.25825","2026-07-28","Harness Optimization; Counterfactual Orchestration","Base agent + counterfactual planner + learned router/change/stop/intervention policies","Yes: runtime workflow intervention/adaptation; base model weights not the main target","None for base model; offline learned controller policies","Harness controller / intervention policy","Remote/API LLMs; varies by benchmark","API / mixed","Offline paired counterfactual data + learned intervention-effect predictors","GAIA; SWE-bench Verified; Terminal-Bench 2.0","General long-horizon; coding; terminal","Efficiency objective under success-preservation constraints","Yes","No model-side internalization study","No model-harness capability retirement","https://github.com/csdstar/CHILL-Harness","Read methods; useful baseline","Useful checkpointed paired interventions; asks which workflow to use rather than whether model still needs a capability."
"SafeEvolve: Harness-Policy Co-Evolution from Agent Experience for Safety Alignment","2609.02786","2026-09-02","Harness-Policy Co-Evolution; Agentic Post-Training; Safety","Safety prompt + hierarchical skills as bounded/reversible harness artifacts","Yes: trajectory safety evidence updates harness components","Harness-augmented RL (exact optimizer TBD)","Base policy + harness","Qwen3.5-4B","4B","Harness-use SFT + harness-augmented RL","AgentDojo and agentic safety benchmarks","Agentic safety / tool use","Verifier-decomposed safety and utility rewards","Yes","Claims stronger autonomous safety behavior; strict harness-removal evidence TBD","No explicit general retirement criterion","https://github.com/MaoPopovich/SafeEvolve","High priority new work","Explicit experience-driven harness-policy co-evolution with SFT+RL."
"JIT-Agent: Scaling Harness Intelligence via Just-in-Time Harness Evolution","2608.25593","2026-08-26","Harness Generation; Harness Evolution; Harness Intelligence","Four-module machine-generatable harness protocol covering memory, planning, action protocol, tool/skill orchestration","Yes: synthesized, repaired and self-evolved per task/archive","Not served-agent RL; dedicated harness intelligence model","Harness intelligence model","DeepSeek-V4-Flash; GLM-5.2; Qwen-family and others","Mixed / frontier","Harness generation + repair + archive-based self-evolution/distillation","DeepSearchQA; OdysseyBench; additional controlled evaluations","Search / general agents","Harness performance signals","Yes","No base-model internalization","Harness configurations replaced, not model-side retirement","https://github.com/bingreeky/JIT","Must track","Alternative thesis: scale harness intelligence as a trainable/compounding capability layer."
"AutoSaddler: Automatic Harness Optimization with Durable Updates from Agent Execution Traces","2608.23041","2026-08-24","Harness Optimization; Harness Evolution","Prompts, tool definitions/implementations, middleware hooks, agent-loop logic","Yes: structured harness-code patches","None for base model","Harness code/configuration","Varies by benchmark/harness","API / mixed","Failure diagnosis + Capability/Steering patches + validation selection + EvoDAG evolution","GAIA2; SWE-Bench Pro; Terminal-Bench 2.0","General agent; coding; terminal","Pass@1 / validation selection","Yes","None","Harness logic may be replaced; not model-side handoff","https://github.com/microsoft/AutoSaddler","High harness baseline","Reported +9.0/+9.6/+10.0 pp; strong structural harness-optimization baseline with fixed model weights."
"StarHarness: Evolving Harnesses with Stratified Search for Enterprise Environments","2608.24804","2026-08-25","Harness Evolution; Search; Enterprise Agents","Prompts/task framing, tool interfaces, skills, MCP providers, subagent structure, agent-loop configuration","Yes, with fixed model weights","None","Harness","GPT and Qwen families","Mixed","Stratified search + hidden selection + held-out evaluation","ITBench SRE; EnterpriseOps-Gym ITSM; AutomationBench Finance","Enterprise tool-rich tasks","Benchmark performance / hidden selection","Yes","None","Harness edits accepted/rejected; not model-side handoff","https://github.com/ServiceNow/StarHarness","High harness-evolution baseline","Broad structural evolution; reports 20-35 pp gains after 4-12 accepted changes and cross-model transfer."
"EnvHarness: Awakening Static Worlds for Agent Learning","2608.19880","2026-08-20","Environment Harness; Policy-Environment Co-Evolution; RL","Programmable plug-in layer around frozen environment; EnvRigger synthesizes components from policy trajectories","Yes, environment-side harness evolves","RL supported; optimizer benchmark-dependent","Policy + environment harness","Varies","TBD","Environment-harness generation + RL","Five benchmarks across four domains","Multi-domain interactive environments","Original environment verifiers retained","Environment-side harness participates","Not model-harness internalization","Environment components can change; not model capability retirement","https://github.com/google-research/envharness","Adjacent but important","Extends co-evolution picture from model-harness to policy-environment."
"TaoLive Digital Avatar Agent Technical Report: Training Agents to Evolve with Their Harness","2608.15763","2026-08-16","Harness-Aware Training; Agentic Post-Training; Evolving Harness","Skills, Hooks, system prompts and tools decoupled from weights","Yes, deployment harness changes independently","HSA-based agentic RL (exact optimizer TBD)","Compact base model","Compact 35B","35B","HSA-SFT + General On-Policy Distillation + HSA-RL","Live-Stream QA; Harness-Variant QA; IFEval; production evaluations","Live e-commerce digital avatar","Production-informed simulator / task rewards","Yes","Robustness to changing harness; not direct component absorption proof","No","No public code confirmed","High adjacent","Industrial recipe combining evolving-harness exposure, OPD and RL; replay latency reported on one H20."
"ReSkill: Reconciling Skill Creation with Policy Optimization in Agentic RL","2606.01619","2026-06-01","Skill-Policy Co-Evolution; Agentic RL; Skill Evolution","External trigger-based skill library loaded per turn","Yes: skills created/revised/versioned/pruned during RL","GRPO","Policy + skill library","Qwen3-4B-Instruct-2507; Qwen3-8B","4B; 8B","veRL-based GRPO with RL-in-the-loop skill creation","ALFWorld; Search; ScienceWorld; InterCode-SQL; WANDS","Embodied/text; search; SQL; recommendation","Environment reward + within-group skill-version comparison","Yes","Not primarily internalization; policy and external skills co-adapt","Yes: utility/compatibility-driven skill add/delete/pruning","https://github.com/amazon-science/reskill","Must read","Major collision with generic skill-policy co-evolution; pruning is not automatically causal proof of internalization."
"Dynamic Dual-Granularity Skill Bank for Agentic RL (D2Skill)","2603.28716","2026-03-30","Skill Bank; Agentic RL; Paired Rollouts; Skill Evolution","Dual-granularity task + step skill bank","Yes: expands, retrieves, updates and prunes","Agentic RL with paired skill utility signal","Policy + skill bank","Qwen2.5-7B-Instruct; Qwen3-4B-Instruct-2507","7B; 4B","Paired baseline and skill-injected rollouts under same policy","ALFWorld; WebShop","Embodied/text; web shopping","Environment reward + hindsight utility from performance gap","Yes","Paired gap measures skill utility; not strict model-side absorption proof","Utility-aware skill pruning","https://github.com/TU2021/D2Skill-AgenticRL","Must read","Very close prior for with-skill/without-skill measurement; EMNLP 2026 Main."
"SKILLC: Learning Autonomous Skill Internalization in LLM Agents via Contrastive Credit Assignment","2605.27899","2026-05-27","Skill Internalization; Agentic RL; Credit Assignment","Structured external skill prompts used during training and withdrawn for autonomous inference","Active skill types are adaptively pruned","CSCA dual-stream contrastive advantage estimator","Base policy","TBD","TBD","Paired skill-injected + skill-free rollouts + contrastive credit + adaptive curriculum","ALFWorld; WebShop","Embodied/text; web shopping","Task reward plus assisted-vs-autonomous contrast in advantage estimation","Training-time skills; runtime skill-free evaluation","Strong: explicitly evaluates without runtime skill access","Monotonic active-set pruning / external-skill withdrawal","No official code confirmed","Critical / must read","Directly targets autonomous skill internalization; substantially narrows novelty for simple paired handoff/retirement ideas."
